O14842, CHEMBL2022243, 4
O14842, CHEMBL2022244, 6
O14842, CHEMBL2022245, 2
O14842, CHEMBL2022246, 1
O14842, CHEMBL2022247, 4
O14842, CHEMBL2022248, 4
O14842, CHEMBL2022249, 3
O14842, CHEMBL2022250, 1
O14842, CHEMBL2022251, 1
O14842, CHEMBL2022252, 6
O14842, CHEMBL2022253, 4
O14842, CHEMBL2022254, 3
O14842, CHEMBL2022255, 5
O14842, CHEMBL2022256, 8
O14842, CHEMBL2022257, 6
O14842, CHEMBL2022576, 7
O14842, CHEMBL2022577, 6
O14842, CHEMBL2022578, 1
O14842, CHEMBL2022579, 4
O14842, CHEMBL2022580, 4
O14842, CHEMBL2022581, 2
O14842, CHEMBL2022582, 4
O14842, CHEMBL2022583, 1
O14842, CHEMBL2022584, 6
O14842, CHEMBL1688473, 6
O14842, CHEMBL2047149, 6
O14842, CHEMBL2047150, 4
O14842, CHEMBL2047151, 7
O14842, CHEMBL2047152, 6
O14842, CHEMBL2047153, 4
O14842, CHEMBL2047154, 5
O14842, CHEMBL2047155, 6
O14842, CHEMBL2047156, 4
O14842, CHEMBL2047157, 6
O14842, CHEMBL2047158, 6
O14842, CHEMBL2047159, 6
O14842, CHEMBL2047160, 6
O14842, CHEMBL2047162, 7
O14842, CHEMBL2047164, 7
O14842, CHEMBL2047165, 6
O14842, CHEMBL2047166, 6
O14842, CHEMBL2047167, 6
O14842, CHEMBL2047170, 7
O14842, CHEMBL2048610, 6
O14842, CHEMBL2048611, 3
O14842, CHEMBL2048612, 5
O14842, CHEMBL2048613, 6
O14842, CHEMBL2048614, 6
O14842, CHEMBL2048615, 7
O14842, CHEMBL2048616, 7
O14842, CHEMBL2048617, 6
O14842, CHEMBL2048618, 7
O14842, CHEMBL1688486, 6
O14842, CHEMBL2048619, 7
O14842, CHEMBL2048620, 7
O14842, CHEMBL2048622, 7
O14842, CHEMBL2048624, 7
O14842, CHEMBL2048625, 7
O14842, CHEMBL2048626, 7
O14842, CHEMBL2048627, 7
O14842, CHEMBL2048628, 7
O14842, CHEMBL2179472, 4
O14842, CHEMBL1688452, 1
O14842, CHEMBL1773261, 8
O14842, CHEMBL2315528, 4
O14842, CHEMBL449588, 3
O14842, CHEMBL604126, 5
O14842, CHEMBL1829173, 9
O14842, CHEMBL2164242, 8
O14842, CHEMBL2386353, 5
O14842, CHEMBL1829174, 7
O14842, CHEMBL3927519, 7
O14842, CHEMBL4077366, 5
O14842, CHEMBL4082711, 6
O14842, CHEMBL4101472, 6
O14842, CHEMBL4075819, 5
O14842, CHEMBL4059614, 6
O14842, CHEMBL4097527, 5
O14842, CHEMBL3915620, 8
O14842, CHEMBL4101901, 7
O14842, CHEMBL3955132, 6
O14842, CHEMBL4089171, 6
O14842, CHEMBL4103729, 3
O14842, CHEMBL4091552, 2
O14842, CHEMBL4096887, 3
O14842, CHEMBL4078852, 1
O14842, CHEMBL4105565, 1
O14842, CHEMBL4070703, 1
O14842, CHEMBL4075190, 1
O14842, CHEMBL4095599, 4
O14842, CHEMBL4061093, 4
O14842, CHEMBL4090766, 4
O14842, CHEMBL4069764, 5
O14842, CHEMBL4063889, 1
O14842, CHEMBL4091669, 1
O14842, CHEMBL4073525, 7
O14842, CHEMBL4090240, 5
O14842, CHEMBL4079930, 7
O14842, CHEMBL4060499, 6
O14842, CHEMBL4082395, 6
O14842, CHEMBL4783190, 5
O14842, CHEMBL4794904, 4
O14842, CHEMBL4792027, 4
O14842, CHEMBL4786299, 4
O14842, CHEMBL4798993, 9
O14842, CHEMBL4781604, 9
O14842, CHEMBL4793371, 9
O14842, CHEMBL4787010, 9
O14842, CHEMBL4782004, 8
O14842, CHEMBL4797124, 8
O14842, CHEMBL4795763, 5
O14842, CHEMBL4790921, 5
O14842, CHEMBL4794233, 5
O14842, CHEMBL4783033, 6
O14842, CHEMBL4791842, 8
O14842, CHEMBL4780641, 7
O14842, CHEMBL4800563, 8
O14842, CHEMBL4797858, 9
O14842, CHEMBL4785057, 8
O14842, CHEMBL4786335, 7
O14842, CHEMBL4788206, 9
O14842, CHEMBL4784555, 6
O14842, CHEMBL4799453, 7
O14842, CHEMBL4778264, 5
O43193, CHEMBL1628277, 8
O43193, CHEMBL44542, 1
O43193, CHEMBL297494, 10
O43193, CHEMBL298224, 9
O43193, CHEMBL46272, 1
O43193, CHEMBL298324, 1
O43193, CHEMBL33827, 1
O43193, CHEMBL296748, 9
O43193, CHEMBL296962, 1
O43193, CHEMBL49464, 1
O43193, CHEMBL45905, 1
O43193, CHEMBL532, 1
O43193, CHEMBL2372767, 9
O43193, CHEMBL214935, 5
O43193, CHEMBL425255, 1
O43193, CHEMBL261894, 1
O43193, CHEMBL214815, 1
O43193, CHEMBL384698, 1
O43193, CHEMBL437156, 1
O43193, CHEMBL384917, 1
O43193, CHEMBL215880, 1
O43193, CHEMBL216996, 1
O43193, CHEMBL216445, 1
O43193, CHEMBL214543, 1
O43193, CHEMBL387446, 1
O43193, CHEMBL215292, 1
O43193, CHEMBL385273, 1
O43193, CHEMBL214702, 1
O43193, CHEMBL387033, 1
O43193, CHEMBL214652, 1
O43193, CHEMBL215946, 5
O43193, CHEMBL437326, 4
O43193, CHEMBL441697, 2
O43193, CHEMBL214508, 3
O43193, CHEMBL386036, 3
O43193, CHEMBL383881, 4
O43193, CHEMBL386854, 2
O43193, CHEMBL386906, 2
O43193, CHEMBL215532, 1
O43193, CHEMBL385293, 4
O43193, CHEMBL215016, 5
O43193, CHEMBL214703, 2
O43193, CHEMBL214869, 3
O43193, CHEMBL214555, 3
O43193, CHEMBL215169, 3
O43193, CHEMBL215825, 6
O43193, CHEMBL215963, 1
O43193, CHEMBL215177, 1
O43193, CHEMBL386187, 1
O43193, CHEMBL425988, 1
O43193, CHEMBL384501, 7
O43193, CHEMBL385087, 7
O43193, CHEMBL450634, 7
O43193, CHEMBL216400, 5
O43193, CHEMBL385673, 4
O43193, CHEMBL215043, 2
O43193, CHEMBL384204, 2
